question;answer;book title
What did Robert Pip eat and drink on his ship?;Chocolate drops and ginger beer.;The Pirate Frog, and Other Tales
How did Robert Pip’s ship end up on a foreign shore?;A tidal wave carried it there.;The Pirate Frog, and Other Tales
What did the monkeys use as golf balls?;Young, green coconuts.;The Pirate Frog, and Other Tales
What happened when Marie the monkey swallowed a marble?;She choked and was hung by her tail to save her.;The Pirate Frog, and Other Tales
What did the father monkey mistake for a snake?;Rufus buried in the sand with only his tail showing.;The Pirate Frog, and Other Tales
Why did the old school-teacher bear become peevish?;A fever robbed him of his hair.;The Pirate Frog, and Other Tales
How did the bear’s hair grow back?;He used a famous new medicine.;The Pirate Frog, and Other Tales
Why did Small Wee-Wip hang his moccasins on the wigwam frame?;He hoped Santa Claus would leave gifts.;The Pirate Frog, and Other Tales
Where did Santa leave the gifts for Small Wee-Wip?;On the wigwam top (since there was no chimney).;The Pirate Frog, and Other Tales
Why did Judge Bruin rise hastily from the chair?;Billy Hedgehog’s quills were hidden in it.;The Pirate Frog, and Other Tales
What did the little mermaid regret wanting?;A shirtwaist and blue shoes (since she had no feet).;The Pirate Frog, and Other Tales
How did the Shanghai Twins first surprise Mother Bantam?;They were as tall as her when hatched.;The Pirate Frog, and Other Tales
What happened when the Shanghai Twins tried to scratch for worms?;They accidentally buried Mother Bantam.;The Pirate Frog, and Other Tales
How did the Shanghai Twins defeat the fox?;They fought him until he fled in pain.;The Pirate Frog, and Other Tales
What job did the Shanghai Twins take in the poultry yard?;Police officers.;The Pirate Frog, and Other Tales
Why did the smallest pig live in peace?;He didn’t eat enough to grow or run away.;The Pirate Frog, and Other Tales
What did the little bear break in the barber shop?;A mirror, thinking another bear was inside.;The Pirate Frog, and Other Tales
Why couldn’t the foolish clam stay awake during the day?;He stayed up too late at night.;The Pirate Frog, and Other Tales
What happened to the clam when he yawned on the beach?;A big red bird ate him.;The Pirate Frog, and Other Tales
What are the airships of Meadowville made of?;Thistle down and fluffy silkweed.;The Pirate Frog, and Other Tales
What did Dickie Peg-Leg’s hopping sound like to the girl below?;Rain on a tin roof.;The Pirate Frog, and Other Tales
What did Johnny Bingle shoot with his new gun?;The cuckoo in the clock.;The Pirate Frog, and Other Tales
Why couldn’t the peanut bird be caught with salt?;It had no tail.;The Pirate Frog, and Other Tales
What did the bat with the hand organ expect from passersby?;Coins, but no one gave any because bats are naturally blind.;The Pirate Frog, and Other Tales
How did Billy Wilson bring the lake closer to home?;He tied a string around it and pulled it.;The Pirate Frog, and Other Tales
What did the dancing camel’s driver do when people gathered to watch?;Passed a hat and made a fortune.;The Pirate Frog, and Other Tales
Why couldn’t George Augustus William Bubb play games?;He was too dignified to learn.;The Pirate Frog, and Other Tales
What did Mrs. Robin worry about before moving south?;The heavy baggage, but Mr. Rob said they’d bill it through.;The Pirate Frog, and Other Tales
How does Pooh try to reach the honey in the tree?;He climbs the tree but falls into a gorse bush.;Winnie-The-Pooh
What does Pooh use to disguise himself as a cloud?;A blue balloon and mud to turn himself black.;Winnie-The-Pooh
Why does Pooh ask Christopher Robin for an umbrella?;To pretend it might rain and trick the bees.;Winnie-The-Pooh
How does Pooh get down from the balloon?;Christopher Robin shoots the balloon with his gun.;Winnie-The-Pooh
What song does Pooh sing while floating with the balloon?;"""How sweet to be a Cloud Floating in the Blue!""";Winnie-The-Pooh
Why does Pooh get stuck in Rabbit’s door?;He eats too much honey and grows too stout.;Winnie-The-Pooh
How long does Pooh have to wait to get thin again?;A week.;Winnie-The-Pooh
What does Rabbit use Pooh’s legs for while he’s stuck?;As a towel rack.;Winnie-The-Pooh
How is Pooh finally freed?;"Everyone pulls him out, and he goes ""Pop!""";Winnie-The-Pooh
What does Christopher Robin call Pooh affectionately?;"""Silly old Bear.""";Winnie-The-Pooh
What does Pooh think he’s tracking in the snow?;A Woozle (later revealed to be his own footprints).;Winnie-The-Pooh
How many sets of tracks does Pooh think there are?;Four (but it’s just him and Piglet walking in circles).;Winnie-The-Pooh
Who helps Pooh realize his mistake?;Christopher Robin.;Winnie-The-Pooh
What does Piglet claim his grandfather’s name was?;"Trespassers William (from the sign ""Trespassers W"").";Winnie-The-Pooh
Where does Piglet live?;In a grand house in a beech tree.;Winnie-The-Pooh
What does Eeyore lose?;His tail.;Winnie-The-Pooh
Where does Pooh find Eeyore’s tail?;On Owl’s door as a bell-pull.;Winnie-The-Pooh
How does Owl claim he got the tail?;He found it hanging on a bush.;Winnie-The-Pooh
What does Pooh sing after returning the tail?;"""Who found the Tail? ‘I,’ said Pooh.""";Winnie-The-Pooh
How does Eeyore react to getting his tail back?;He frisks happily but pretends it’s no big deal.;Winnie-The-Pooh
What does Pooh use as bait for the Heffalump?;A jar of honey.;Winnie-The-Pooh
Who falls into the trap instead?;Pooh (his head gets stuck in the honey jar).;Winnie-The-Pooh
What does Piglet mistake Pooh for?;A terrifying Heffalump.;Winnie-The-Pooh
How does Piglet react when he sees Pooh in the jar?;He screams and runs to Christopher Robin.;Winnie-The-Pooh
What does Pooh say after being freed?;"""It’s all from trying to be kind to Heffalumps.""";Winnie-The-Pooh
Why is Eeyore gloomy on his birthday?;No one remembers or brings gifts.;Winnie-The-Pooh
What does Pooh originally plan to give Eeyore?;A jar of honey (but he eats it).;Winnie-The-Pooh
What does Piglet give Eeyore?;A burst balloon (he fell on it).;Winnie-The-Pooh
"How does Owl spell ""A Happy Birthday""?";"""HIPY PAPY BTHUTHDTH THUTHOR BTHUTHDY.""";Winnie-The-Pooh
What does Eeyore do with the balloon and pot?;He puts the balloon in the pot repeatedly, delighted.;Winnie-The-Pooh
What is Rabbit’s plan to scare Kanga away?;Steal Roo and replace him with Piglet.;Winnie-The-Pooh
How does Piglet end up in Kanga’s pocket?;Rabbit swaps them while Kanga is distracted.;Winnie-The-Pooh
What does Kanga do when she discovers Piglet?;"Gives him a bath and ""medicine"" (harsh soap).";Winnie-The-Pooh
What name does Christopher Robin give Piglet?;Henry Pootel.;Winnie-The-Pooh
How does Piglet escape?;He runs home and rolls to regain his color.;Winnie-The-Pooh
What does Christopher Robin want to discover?;The North Pole.;Winnie-The-Pooh
What does Pooh find that becomes the North Pole?;A long pole (used to rescue Roo from the stream).;Winnie-The-Pooh
Who almost drowns during the expedition?;Roo (he falls into the stream).;Winnie-The-Pooh
How does Eeyore help rescue Roo?;He offers his tail to grab, but Roo uses Pooh’s pole.;Winnie-The-Pooh
What message does Christopher Robin tie to the pole?;"""North Pole Discovered by Pooh.""";Winnie-The-Pooh
How does Piglet try to call for help?;Sends a message in a bottle.;Winnie-The-Pooh
What does Pooh use as a boat?;"An upside-down umbrella (""The Brain of Pooh"").";Winnie-The-Pooh
Who rescues Piglet?;Christopher Robin and Pooh in the umbrella boat.;Winnie-The-Pooh
What almost happens to Piglet while waiting?;He falls asleep and nearly slips out the window.;Winnie-The-Pooh
What does Owl do during the flood?;Tells a long, boring story to Piglet.;Winnie-The-Pooh
Why does Christopher Robin throw a party?;To celebrate Pooh rescuing Piglet.;Winnie-The-Pooh
What gift does Pooh receive?;"A pencil case with ""B,"" ""HB,"" and ""BB"" pencils.";Winnie-The-Pooh
What does Eeyore think the party is for?;Himself (until corrected).;Winnie-The-Pooh
What does Roo keep doing at the party?;Interrupting with hiccups and loud greetings.;Winnie-The-Pooh
What does Pooh say is the first thing he thinks each morning?;"""What’s for breakfast?"" (Piglet thinks of adventures).";Winnie-The-Pooh
"Who edited ""Children's Hour with Red Riding Hood and Other Stories""?";Watty Piper.;Red Riding Hood and Other Stories
When was this collection published?;1922.;Red Riding Hood and Other Stories
Which story has the most magical characters in it?;The Sleeping Beauty (with multiple fairies who cast spells and give gifts).;Red Riding Hood and Other Stories
Which character in the stories is the meanest?;The wicked stepmother Queen in Snowdrop, who tries to kill Snowdrop three different times.;Red Riding Hood and Other Stories
Why was the little girl called Little Red Riding Hood?;Because her grandmother gave her a red cloak with a hood which she always wore.;Red Riding Hood and Other Stories
What did Little Red Riding Hood's mother put in the basket for grandmother?;Eggs, butter, cake, and other dainties.;Red Riding Hood and Other Stories
What did Little Red Riding Hood stop to do on her way to grandmother's house?;She stopped to pick wild flowers for her grandmother.;Red Riding Hood and Other Stories
What directions did Little Red Riding Hood give the wolf to her grandmother's house?;"""Along that path, past the wild rose bushes, then through the gate at the end of the wood"".";Red Riding Hood and Other Stories
What happened to the grandmother when the wolf arrived?;She jumped out of bed into a closet when the wolf made one jump at her.;Red Riding Hood and Other Stories
What did the wolf put on to disguise himself?;The grandmother's cap, and he crept under the bedclothes.;Red Riding Hood and Other Stories
What did Little Red Riding Hood notice about the wolf disguised as grandmother?;His big ears, big eyes, big nose, and big mouth.;Red Riding Hood and Other Stories
Who saved Little Red Riding Hood from the wolf?;Her father, who was passing by and heard her scream.;Red Riding Hood and Other Stories
How did the father kill the wolf?;He rushed in with his axe and chopped off the wolf's head.;Red Riding Hood and Other Stories
What happened at the end of Little Red Riding Hood?;Her father carried her home and they lived happily ever after.;Red Riding Hood and Other Stories
Why was the princess traveling to a distant country?;To be married to a prince in that country.;Red Riding Hood and Other Stories
Who accompanied the princess on her journey?;A waiting-woman sent by her mother.;Red Riding Hood and Other Stories
What happened when the princess asked for water from the stream?;The waiting-woman refused to serve her and told her to get it herself.;Red Riding Hood and Other Stories
How did the waiting-woman steal the princess's identity?;She forced the princess to exchange clothes and horses, and made her swear not to tell anyone what happened.;Red Riding Hood and Other Stories
What job was the real princess given at the castle?;To help little Conrad look after the geese.;Red Riding Hood and Other Stories
What magical thing happened when the princess let down her hair?;She would call upon the wind to blow away Conrad's hat while she arranged her hair.;Red Riding Hood and Other Stories
What rhyme did the princess say to summon the wind?;"""Blow, blow, little breeze, And Conrad's hat seize. Let him join in the chase While away it is whirled, Till my tresses are curled And I rest in my place.""";Red Riding Hood and Other Stories
How did the king discover the truth about the princess?;He followed Conrad and the goose-girl to the field and witnessed the magical wind event.;Red Riding Hood and Other Stories
How did the king get the princess to confess her story?;He told her to tell her troubles to the iron stove, then listened from outside by the pipes.;Red Riding Hood and Other Stories
What punishment did the false bride unknowingly choose for herself?;To be put in a barrel and dragged by two white horses until dead.;Red Riding Hood and Other Stories
Who was supposed to care for the two children after their parents died?;Their uncle, who promised to be a father to them.;Red Riding Hood and Other Stories
Why did the uncle want to harm the children?;He wanted to possess the money their parents had left in his care for them.;Red Riding Hood and Other Stories
Who did the uncle hire to kill the children?;Two robbers.;Red Riding Hood and Other Stories
What happened when the robbers took the children into the woods?;One robber refused to kill the innocent children, they fought, and the frightened children ran away.;Red Riding Hood and Other Stories
How did the children die in the woods?;They became tired and hungry, sat down at the foot of a tree, and died of cold and hunger.;Red Riding Hood and Other Stories
Who covered the children with leaves?;The little birds, who covered them with leaves of crimson, brown, and green.;Red Riding Hood and Other Stories
What happened to the children's souls?;The birds told the angels their sad story, and a white-robed angel carried both children to Heaven.;Red Riding Hood and Other Stories
Where were the children when they awoke?;In Heaven, reunited with their dear mother, no longer tired and hungry.;Red Riding Hood and Other Stories
Why did the king and queen hold a christening feast?;To celebrate the birth of their daughter after waiting a very long time for children.;Red Riding Hood and Other Stories
Who did they forget to invite to the christening?;One rather cross old fairy.;Red Riding Hood and Other Stories
What curse did the angry fairy place on the princess?;That she would die at age sixteen by pricking her hand with a spindle.;Red Riding Hood and Other Stories
How did the last good fairy modify the curse?;She said the princess wouldn't really die, but would fall into a deep sleep for a hundred years and be awakened by a king's son.;Red Riding Hood and Other Stories
How old was the princess when the curse came true?;Sixteen years old.;Red Riding Hood and Other Stories
What was the princess doing when she pricked her hand?;She saw an old woman spinning and took the spindle to try this strange new work.;Red Riding Hood and Other Stories
What happened to everyone else in the palace when the princess fell asleep?;Everyone else in the palace also fell into a deep sleep.;Red Riding Hood and Other Stories
What grew around the palace during the hundred years?;A hedge that grew so tall and thick that you couldn't tell there was a castle there.;Red Riding Hood and Other Stories
How did the prince awaken the princess?;He kissed her lips after falling in love with her.;Red Riding Hood and Other Stories
When did the prince and princess get married?;The same day she awakened, with great pomp and ceremony.;Red Riding Hood and Other Stories
Who was jealous of Snowdrop?;Her cruel step-mother, the Queen.;Red Riding Hood and Other Stories
What magical object did the Queen use to check her beauty?;A magic mirror that could speak and always told the truth.;Red Riding Hood and Other Stories
Who was supposed to kill Snowdrop but couldn't do it?;One of the Queen's huntsmen, who was too tender-hearted.;Red Riding Hood and Other Stories
How many dwarfs took Snowdrop in?;Seven little dwarfs.;Red Riding Hood and Other Stories
What household tasks did Snowdrop do for the dwarfs?;She made their seven little beds and prepared meals for the seven little men.;Red Riding Hood and Other Stories
How did the Queen try to kill Snowdrop the first time?;She disguised herself as an old pedlar and laced Snowdrop so tightly she couldn't breathe.;Red Riding Hood and Other Stories
