question;answer;book title
What made the children valuable to the Corsair and his wife?;When their hair was combed, pearls, rubies, diamonds, and emeralds rolled out of it.;The Frog Prince
What was the first magical item Feintise told Belle-Etoile about?;The dancing-water, which could be found in the luminous forest.;The Frog Prince
Who went to fetch the dancing-water?;Prince Cheri, because he loved Belle-Etoile and would do anything for her.;The Frog Prince
What creature helped Cheri find the dancing-water?;A turtle-dove that he had saved from drowning.;The Frog Prince
What was the second magical item Belle-Etoile desired?;The singing-apple, which was guarded by a terrible dragon.;The Frog Prince
How did Cheri defeat the dragon?;"He wore a suit of glass armor; when the dragon saw his own frightening reflection multiplied in the mirrors, he became scared and fled into a deep chasm.";The Frog Prince
What was the third and most dangerous magical item?;The little green bird that tells everything, found on top of a frightful rock in a frozen climate.;The Frog Prince
What happened to the princes who tried to capture the green bird?;They fell into a spacious hall inside the rock and became motionless as statues, unable to speak or move.;The Frog Prince
How many knights were trapped in the hall?;Three hundred knights who had made the same attempt, plus the three princes.;The Frog Prince
How did Belle-Etoile successfully capture the green bird?;Disguised as a cavalier, she followed a turtle-dove's advice: sang sweetly, pretended to sleep, and when the bird came down to peck the dove, she seized it.;The Frog Prince
How were the trapped princes freed?;Belle-Etoile used a red feather from under the bird's left wing to touch the rock, which split it open, then rubbed the feather on the eyes and mouths of those she wished to disenchant.;The Frog Prince
What did the green bird reveal about the children's true identity?;Petit-Soleil, Heureux, and Belle-Etoile were the King's children, and Cheri was his nephew.;The Frog Prince
What happened to the villains?;The wicked Queen-Mother and old Feintise were justly punished.;The Frog Prince
Who did Belle-Etoile marry?;Prince Cheri, with the King's consent, as he thought Cheri was the handsomest man at court.;The Frog Prince
What was Aladdin's family situation?;"He was the son of a poor tailor named Mustapha; after his father died, his mother had to spin cotton all day to support them because Aladdin loved play more than work.";The Frog Prince
Who approached Aladdin and claimed to be his uncle?;A wicked magician who was not related to him at all but wanted to use Aladdin's services.;The Frog Prince
How did the story end for Aladdin and Princess Bulbul?;After defeating the magician and recovering the lamp, they were transported back to their native city where the Sultan was overjoyed, and Aladdin lived long afterwards to enjoy his good fortune with Bulbul.;The Frog Prince
